"ID_PRODUCT";"ID_BUSINESS";"ID_PRODUCT_EXT";"NAME_PRODUCT";"TIME_EDIT";"ID_USER_EDIT";"DESCRIPTION_REFERENCE";"LOGO_REFERENCE";"INFO_PRODUCT"
56;12;115;"КОРПОРАТИВНЫЙ СЕЙФ (ДО Завод)#VISA CL ZP STANDART RUR";26.02.2018 12:16:02;2;"";"";0
57;12;116;"КОРПОРАТИВНЫЙ СЕЙФ (ДО Завод)#VISA GOLD ZP STANDART RUR";26.02.2018 12:16:31;2;"";"";0
58;12;117;"Депозиты с использованием розничной п/к ККО Сапсан#VISA CL ROZNICA RUR";26.02.2018 12:17:17;2;"";"";0
59;12;118;"Депозиты с использованием розничной п/к ККО Сапсан#VISA GOLD ROZNICA RUR";26.02.2018 12:17:49;2;"";"";0
60;12;119;"Депозиты с использованием розничной п/к ГО#VISA CL ZP STANDART RUR";26.02.2018 12:18:16;2;"";"";0
61;12;120;"Депозиты с использованием розничной п/к ГО#VISA GOLD ZP STANDART RUR";26.02.2018 12:18:40;2;"";"";0
62;12;121;"Депозиты с использованием розничной п/к ГО + ОВЕРДРАФТ#VISA CL ZP STANDART RUR";26.02.2018 12:19:06;2;"";"";0
63;12;122;"Депозиты с использованием розничной п/к ГО + ОВЕРДРАФТ#VISA GOLD ZP STANDART RUR";26.02.2018 12:19:35;2;"";"";0
64;12;123;"Расчеты по пластиковым картам МП ""СРС""#VISA CL ZP STANDART RUR";26.02.2018 12:20:07;2;"";"";0
65;12;124;"Расчеты по пластиковым картам МП ""СРС""#VISA GOLD ZP STANDART RUR";26.02.2018 12:20:36;2;"";"";0
66;12;125;"Расчеты по пластиковым картам МП ""СРС"" + ОВЕРДРАФТ#VISA CL ZP STANDART RUR";26.02.2018 12:21:15;2;"";"";0
67;12;126;"Расчеты по пластиковым картам МП ""СРС"" + ОВЕРДРАФТ#VISA GOLD ZP STANDART RUR";26.02.2018 12:21:37;2;"";"";0
68;12;127;"Расчеты по пластиковым картам ОАО ""ТТЦ""Индустриальный""#VISA CL ZP STANDART RUR";26.02.2018 12:22:05;2;"";"";0
69;12;128;"Расчеты по пластиковым картам ОАО ""ТТЦ""Индустриальный""#VISA GOLD ZP STANDART RUR";26.02.2018 12:22:31;2;"";"";0
70;12;129;"Расчеты по пластиковым картам ОАО ""ТТЦ""Индустриальный"" + ОВЕРДРАФТ#VISA CL ZP STANDART RUR";26.02.2018 12:22:57;2;"";"";0
71;12;130;"Расчеты по пластиковым картам ОАО ""ТТЦ""Индустриальный"" + ОВЕРДРАФТ#VISA GOLD ZP STANDART RUR";26.02.2018 12:23:22;2;"";"";0
72;12;131;"Расчеты по пластиковым картам ОАО ""Тольяттиазот"" 75 цех#VISA CL ZP STANDART RUR";26.02.2018 12:23:50;2;"";"";0
73;12;132;"Расчеты по пластиковым картам ОАО ""Тольяттиазот"" 75 цех#VISA GOLD ZP STANDART RUR";26.02.2018 12:24:12;2;"";"";0
74;12;133;"Расчеты по пластиковым картам ОАО ""Тольяттиазот"" 75 цех + ОВЕРДРАФТ#VISA CL ZP STANDART RUR";26.02.2018 12:24:34;2;"";"";0
75;12;134;"Расчеты по пластиковым картам ОАО ""Тольяттиазот"" 75 цех + ОВЕРДРАФТ#VISA GOLD ZP STANDART RUR";26.02.2018 12:25:03;2;"";"";0
76;12;135;"Расчеты по пластиковым картам ОАО ""Тольяттиазот"", ОАО ""ВЦМ""#VISA CL ZP STANDART RUR";26.02.2018 12:25:36;2;"";"";0
77;12;136;"Расчеты по пластиковым картам ОАО ""Тольяттиазот"", ОАО ""ВЦМ""#VISA GOLD ZP STANDART RUR";26.02.2018 12:25:59;2;"";"";0
78;12;137;"Расчеты по пластиковым картам ОАО ""Тольяттиазот"", ОАО ""ВЦМ"" + ОВЕРДРАФТ#VISA CL ZP STANDART RUR";26.02.2018 12:26:23;2;"";"";0
79;12;138;"Расчеты по пластиковым картам ОАО ""Тольяттиазот"", ОАО ""ВЦМ"" + ОВЕРДРАФТ#VISA GOLD ZP STANDART RUR";26.02.2018 12:26:43;2;"";"";0
80;12;143;"Расчеты по пластиковым картам ООО ""ТольяттиТехСтекло""#VISA CL ZP STANDART RUR";26.02.2018 12:27:06;2;"";"";0
81;12;144;"Расчеты по пластиковым картам ООО ""ТольяттиТехСтекло""#VISA GOLD ZP STANDART RUR";26.02.2018 12:27:37;2;"";"";0
82;12;145;"Расчеты по пластиковым картам ООО ""ТольяттиТехСтекло"" + ОВЕРДРАФТ#VISA CL ZP STANDART RUR";26.02.2018 12:28:45;2;"";"";0
83;12;146;"Расчеты по пластиковым картам ООО ""ТольяттиТехСтекло"" + ОВЕРДРАФТ#VISA GOLD ZP STANDART RUR";26.02.2018 12:29:16;2;"";"";0
84;12;147;"Расчеты по пластиковым картам ООО ""ШКДП""#VISA CL ZP STANDART RUR";26.02.2018 12:29:44;2;"";"";0
85;12;148;"Расчеты по пластиковым картам ООО ""ШКДП""#VISA GOLD ZP STANDART RUR";26.02.2018 12:30:06;2;"";"";0
86;12;149;"Расчеты по пластиковым картам ООО ""ШКДП"" + ОВЕРДРАФТ#VISA CL ZP STANDART RUR";26.02.2018 12:30:32;2;"";"";0
87;12;150;"Расчеты по пластиковым картам ООО ""ШКДП"" + ОВЕРДРАФТ#VISA GOLD ZP STANDART RUR";26.02.2018 12:31:07;2;"";"";0
88;12;151;"Депозиты с использованием розничной п/к ККО Волна + ОВЕРДРАФТ#VISA CL ROZNICA RUR";26.02.2018 12:31:32;2;"";"";0
89;12;152;"Депозиты с использованием розничной п/к ККО Волна + ОВЕРДРАФТ#VISA GOLD ROZNICA RUR";26.02.2018 12:31:58;2;"";"";0
90;12;153;"Расчеты по пластиковым картам ОАО ""Ульяновскэнерго""#VISA CL ZP-ULENERGO RUR";26.02.2018 12:32:35;2;"";"";0
91;12;154;"Расчеты по пластиковым картам ОАО ""Ульяновскэнерго""#VISA GOLD ZP-ULENERGO RUR";26.02.2018 12:32:58;2;"";"";0
92;12;155;"Расчеты по пластиковым картам ОАО ""Ульяновскэнерго"" + ОВЕРДРАФТ#VISA CL ZP-ULENERGO RUR";26.02.2018 12:33:25;2;"";"";0
93;12;156;"Расчеты по пластиковым картам ОАО ""Ульяновскэнерго"" + ОВЕРДРАФТ#VISA GOLD ZP-ULENERGO RUR";26.02.2018 12:33:46;2;"";"";0
94;12;161;"Расчеты по пластиковым картам ООО ""СТРОЙЭЛИТ""#VISA CL ZP STANDART RUR";26.02.2018 12:34:12;2;"";"";0
95;12;162;"Расчеты по пластиковым картам ООО ""СТРОЙЭЛИТ""#VISA GOLD ZP STANDART RUR";26.02.2018 12:34:34;2;"";"";0
96;9;3;"Универсальный";01.03.2018 14:39:04;2;"";"";0
