"ID_OBJECT";"ID_FIELD";"INDEX_ROW";"INDEX_COLUMN";"FIELD_INT";"FIELD_DATE";"FIELD_MONEY";"FIELD_STRING";"FIELD_DECIMAL"
21;1;0;1;70;null;null;null;null
21;9;0;0;3;null;null;null;null
21;9;1;0;4;null;null;null;null
21;9;2;0;6;null;null;null;null
21;9;3;0;20;null;null;null;null
21;9;4;0;14;null;null;null;null
21;9;5;0;15;null;null;null;null
21;9;6;0;16;null;null;null;null
21;9;7;0;17;null;null;null;null
21;9;8;0;18;null;null;null;null
21;9;9;0;19;null;null;null;null
21;9;10;0;8;null;null;null;null
21;9;11;0;9;null;null;null;null
21;9;12;0;10;null;null;null;null
21;9;13;0;11;null;null;null;null
21;9;14;0;12;null;null;null;null
21;9;15;0;13;null;null;null;null
21;9;16;0;21;null;null;null;null
22;1;0;0;1;null;null;null;null
22;1;0;1;71;null;null;null;null
22;9;0;0;3;null;null;null;null
22;9;1;0;4;null;null;null;null
22;9;2;0;6;null;null;null;null
22;9;3;0;20;null;null;null;null
22;9;4;0;21;null;null;null;null
22;9;5;0;14;null;null;null;null
22;9;6;0;15;null;null;null;null
22;9;7;0;16;null;null;null;null
22;9;8;0;17;null;null;null;null
22;9;9;0;18;null;null;null;null
22;9;10;0;19;null;null;null;null
22;9;11;0;8;null;null;null;null
22;9;12;0;9;null;null;null;null
22;9;13;0;10;null;null;null;null
22;9;14;0;11;null;null;null;null
22;9;15;0;12;null;null;null;null
22;9;16;0;13;null;null;null;null
22;9;17;0;22;null;null;null;null
23;1;0;0;1;null;null;null;null
23;1;0;1;72;null;null;null;null
23;9;0;0;3;null;null;null;null
23;9;1;0;4;null;null;null;null
23;9;2;0;6;null;null;null;null
23;9;3;0;20;null;null;null;null
23;9;4;0;21;null;null;null;null
23;9;5;0;22;null;null;null;null
23;9;6;0;14;null;null;null;null
23;9;7;0;15;null;null;null;null
23;9;8;0;16;null;null;null;null
23;9;9;0;17;null;null;null;null
23;9;10;0;18;null;null;null;null
23;9;11;0;19;null;null;null;null
23;9;12;0;8;null;null;null;null
23;9;13;0;9;null;null;null;null
23;9;14;0;10;null;null;null;null
23;9;15;0;11;null;null;null;null
23;9;16;0;12;null;null;null;null
23;9;17;0;13;null;null;null;null
23;9;18;0;23;null;null;null;null
24;1;0;0;1;null;null;null;null
24;1;0;1;73;null;null;null;null
24;9;0;0;3;null;null;null;null
24;9;1;0;4;null;null;null;null
24;9;2;0;6;null;null;null;null
24;9;3;0;20;null;null;null;null
24;9;4;0;21;null;null;null;null
24;9;5;0;22;null;null;null;null
