"ID_PRODUCT_EXT";"NAME_PRODUCT_EXT";"ID_BUSINESS"
126;"Расчеты по пластиковым картам МП ""СРС"" + ОВЕРДРАФТ#VISA GOLD ZP STANDART RUR";12
123;"Расчеты по пластиковым картам МП ""СРС""#VISA CL ZP STANDART RUR";12
124;"Расчеты по пластиковым картам МП ""СРС""#VISA GOLD ZP STANDART RUR";12
51;"Расчеты по пластиковым картам НУ ""Центр отдыхо Тоаз"" (ДК)#VISA CL ZP STANDART RUR";12
52;"Расчеты по пластиковым картам НУ ""Центр отдыхо Тоаз"" (ДК)#VISA GOLD ZP STANDART RUR";12
63;"Расчеты по пластиковым картам ОАО ""ТОАЗ"" НЕРЕЗИДЕНТ#VISA CL ZP STANDART RUR";12
64;"Расчеты по пластиковым картам ОАО ""ТОАЗ"" НЕРЕЗИДЕНТ#VISA GOLD ZP STANDART RUR";12
133;"Расчеты по пластиковым картам ОАО ""Тольяттиазот"" 75 цех + ОВЕРДРАФТ#VISA CL ZP STANDART RUR";12
134;"Расчеты по пластиковым картам ОАО ""Тольяттиазот"" 75 цех + ОВЕРДРАФТ#VISA GOLD ZP STANDART RUR";12
131;"Расчеты по пластиковым картам ОАО ""Тольяттиазот"" 75 цех#VISA CL ZP STANDART RUR";12
132;"Расчеты по пластиковым картам ОАО ""Тольяттиазот"" 75 цех#VISA GOLD ZP STANDART RUR";12
137;"Расчеты по пластиковым картам ОАО ""Тольяттиазот"", ОАО ""ВЦМ"" + ОВЕРДРАФТ#VISA CL ZP STANDART RUR";12
138;"Расчеты по пластиковым картам ОАО ""Тольяттиазот"", ОАО ""ВЦМ"" + ОВЕРДРАФТ#VISA GOLD ZP STANDART RUR";12
135;"Расчеты по пластиковым картам ОАО ""Тольяттиазот"", ОАО ""ВЦМ""#VISA CL ZP STANDART RUR";12
136;"Расчеты по пластиковым картам ОАО ""Тольяттиазот"", ОАО ""ВЦМ""#VISA GOLD ZP STANDART RUR";12
129;"Расчеты по пластиковым картам ОАО ""ТТЦ""Индустриальный"" + ОВЕРДРАФТ#VISA CL ZP STANDART RUR";12
130;"Расчеты по пластиковым картам ОАО ""ТТЦ""Индустриальный"" + ОВЕРДРАФТ#VISA GOLD ZP STANDART RUR";12
127;"Расчеты по пластиковым картам ОАО ""ТТЦ""Индустриальный""#VISA CL ZP STANDART RUR";12
128;"Расчеты по пластиковым картам ОАО ""ТТЦ""Индустриальный""#VISA GOLD ZP STANDART RUR";12
141;"Расчеты по пластиковым картам ОАО ""Ульяновскэнерго"" + ОВЕРДРАФТ#VISA CL ZP STANDART RUR";12
155;"Расчеты по пластиковым картам ОАО ""Ульяновскэнерго"" + ОВЕРДРАФТ#VISA CL ZP-ULENERGO RUR";12
142;"Расчеты по пластиковым картам ОАО ""Ульяновскэнерго"" + ОВЕРДРАФТ#VISA GOLD ZP STANDART RUR";12
156;"Расчеты по пластиковым картам ОАО ""Ульяновскэнерго"" + ОВЕРДРАФТ#VISA GOLD ZP-ULENERGO RUR";12
139;"Расчеты по пластиковым картам ОАО ""Ульяновскэнерго""#VISA CL ZP STANDART RUR";12
153;"Расчеты по пластиковым картам ОАО ""Ульяновскэнерго""#VISA CL ZP-ULENERGO RUR";12
140;"Расчеты по пластиковым картам ОАО ""Ульяновскэнерго""#VISA GOLD ZP STANDART RUR";12
154;"Расчеты по пластиковым картам ОАО ""Ульяновскэнерго""#VISA GOLD ZP-ULENERGO RUR";12
49;"Расчеты по пластиковым картам ООО ""Академия здоровья""#VISA CL ZP STANDART RUR";12
50;"Расчеты по пластиковым картам ООО ""Академия здоровья""#VISA GOLD ZP STANDART RUR";12
59;"Расчеты по пластиковым картам ООО ""АльфаТранс""#VISA CL ZP STANDART RUR";12
60;"Расчеты по пластиковым картам ООО ""АльфаТранс""#VISA GOLD ZP STANDART RUR";12
67;"Расчеты по пластиковым картам ООО ""Бессер Девелопмент Групп""#VISA CL ZP STANDART RUR";12
