"id";"action";"action_date";"initiator";"object_class";"object_id"
152,0;"DELETE";14.07.2017 11:16:16;"fadmin";"ru.cft.web.fxgate.admin.model.Card";144,0
153,0;"DELETE";14.07.2017 11:16:19;"fadmin";"ru.cft.web.fxgate.admin.model.CardPerm";134,0
154,0;"DELETE";14.07.2017 11:16:19;"fadmin";"ru.cft.web.fxgate.admin.model.Card";128,0
157,0;"INSERT";14.07.2017 11:17:03;"fadmin";"ru.cft.web.fxgate.admin.model.Card";155,0
158,0;"INSERT";14.07.2017 11:17:03;"fadmin";"ru.cft.web.fxgate.admin.model.CardPerm";156,0
160,0;"INSERT";14.07.2017 11:17:42;"fadmin";"ru.cft.web.fxgate.admin.model.Card";159,0
161,0;"DELETE";14.07.2017 14:15:06;"fadmin";"ru.cft.web.fxgate.admin.model.Card";159,0
163,0;"INSERT";14.07.2017 14:15:32;"fadmin";"ru.cft.web.fxgate.admin.model.Card";162,0
164,0;"UPDATE";14.07.2017 14:15:38;"fadmin";"ru.cft.web.fxgate.admin.model.Card";162,0
165,0;"UPDATE";14.07.2017 14:25:26;"fadmin";"ru.cft.web.fxgate.admin.model.Account";127,0
166,0;"DELETE";14.07.2017 14:26:28;"fadmin";"ru.cft.web.fxgate.admin.model.CardPerm";156,0
167,0;"DELETE";14.07.2017 14:26:28;"fadmin";"ru.cft.web.fxgate.admin.model.Card";155,0
168,0;"DELETE";14.07.2017 14:26:28;"fadmin";"ru.cft.web.fxgate.admin.model.Card";162,0
170,0;"INSERT";14.07.2017 14:27:17;"fadmin";"ru.cft.web.fxgate.admin.model.Card";169,0
172,0;"INSERT";26.07.2017 10:57:44;"fadmin";"ru.cft.web.fxgate.admin.model.Bank";171,0
174,0;"INSERT";26.07.2017 11:09:22;"fadmin";"ru.cft.web.fxgate.admin.model.Person";173,0
179,0;"INSERT";08.02.2018 11:23:32;"fadmin";"ru.cft.web.fxgate.admin.model.Person";178,0
184,0;"INSERT";08.02.2018 11:23:32;"fadmin";"ru.cft.web.fxgate.admin.model.Contract";180,0
185,0;"INSERT";08.02.2018 11:23:33;"fadmin";"ru.cft.web.fxgate.admin.model.User";181,0
186,0;"INSERT";08.02.2018 11:23:33;"fadmin";"ru.cft.web.fxgate.admin.model.NotificationSettings";183,0
187,0;"INSERT";08.02.2018 11:23:33;"fadmin";"ru.cft.web.fxgate.admin.model.PersonPerm";182,0
192,0;"INSERT";08.02.2018 11:25:36;"fadmin";"ru.cft.web.fxgate.admin.model.Account";188,0
193,0;"INSERT";08.02.2018 11:25:36;"fadmin";"ru.cft.web.fxgate.admin.model.Card";189,0
194,0;"INSERT";08.02.2018 11:25:36;"fadmin";"ru.cft.web.fxgate.admin.model.CardPerm";190,0
195,0;"INSERT";08.02.2018 11:25:36;"fadmin";"ru.cft.web.fxgate.admin.model.AccountPerm";191,0
200,0;"INSERT";08.02.2018 11:27:14;"fadmin";"ru.cft.web.fxgate.admin.model.Account";196,0
201,0;"INSERT";08.02.2018 11:27:14;"fadmin";"ru.cft.web.fxgate.admin.model.Card";197,0
202,0;"INSERT";08.02.2018 11:27:14;"fadmin";"ru.cft.web.fxgate.admin.model.CardPerm";198,0
203,0;"INSERT";08.02.2018 11:27:14;"fadmin";"ru.cft.web.fxgate.admin.model.AccountPerm";199,0
208,0;"INSERT";08.02.2018 11:30:57;"fadmin";"ru.cft.web.fxgate.admin.model.Account";204,0
209,0;"INSERT";08.02.2018 11:30:57;"fadmin";"ru.cft.web.fxgate.admin.model.Card";205,0
210,0;"INSERT";08.02.2018 11:30:57;"fadmin";"ru.cft.web.fxgate.admin.model.CardPerm";206,0
211,0;"INSERT";08.02.2018 11:30:57;"fadmin";"ru.cft.web.fxgate.admin.model.AccountPerm";207,0
230,0;"DELETE";13.02.2018 15:05:04;"fadmin";"ru.cft.web.fxgate.admin.model.AccountPerm";229,0
231,0;"DELETE";13.02.2018 15:05:04;"fadmin";"ru.cft.web.fxgate.admin.model.Account";228,0
232,0;"DELETE";13.02.2018 15:05:14;"fadmin";"ru.cft.web.fxgate.admin.model.AccountPerm";227,0
233,0;"DELETE";13.02.2018 15:05:14;"fadmin";"ru.cft.web.fxgate.admin.model.Account";226,0
234,0;"DELETE";13.02.2018 15:05:21;"fadmin";"ru.cft.web.fxgate.admin.model.Contract";222,0
235,0;"DELETE";13.02.2018 15:05:26;"fadmin";"ru.cft.web.fxgate.admin.model.User";223,0
247,0;"INSERT";15.02.2018 10:17:06;"fadmin";"ru.cft.web.fxgate.admin.model.Account";245,0
248,0;"INSERT";15.02.2018 10:17:06;"fadmin";"ru.cft.web.fxgate.admin.model.AccountPerm";246,0
252,0;"INSERT";15.02.2018 10:50:49;"fadmin";"ru.cft.web.fxgate.admin.model.Account";250,0
253,0;"INSERT";15.02.2018 10:50:49;"fadmin";"ru.cft.web.fxgate.admin.model.AccountPerm";251,0
